section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc_426,secret commissions,,5y,,sc
cc_430(2),mischief — endangering 255y,,255y,,
cc_430(3),mischief — over $5000,,10y,,sc
cc_430(4),mischief — under $5000,,2y,,sc
cc_430(4.1),mischief — religious property educational institutions,,10y,,sc
cc_430(4.11)#1,mischief — war memorials — first offence,1000$,10y,1000$,729d
cc_430(4.11)#2,mischief — war memorials — second offence,14d,10y,14d,729d
cc_430(4.11)#s,mischief — war memorials — subsequent offence,30d,10y,30d,729d
cc_430(4.2),mischief — cultural property,,10y,,sc
cc_430(5),mischief — computer data,,10y,,sc
cc_430(5.1),mischief — omitting to prevent mischief to data,,10y,,sc
cc_431,attack on premises residence or transport of internationally protected person,,14y,,
cc_431.1,attack on premises residence or transport of united nations or associated personnel,,14y,,
cc_431.2,explosive or other lethal device,,255y,,
cc_432(1),unauthorized recording of a movie,,2y,,sc
cc_432(2),unauthorized recording for purpose of sale,,5y,,sc
cc_433,arson — disregard for human 255y,,255y,,
cc_434,arson — damage to property,,14y,,
cc_434.1,arson — own property,,14y,,
cc_435,arson — fraudulent purpose,,10y,,sc
cc_436,arson — negligence,,5y,,sc
cc_436.1,possession of incendiary material,,5y,,sc
cc_437,false alarm of fire,,2y,,sc
cc_438(1),interfering with saving of wrecked vessel,,5y,,sc
cc_438(2),interfering with saving of wreck,,,,sc
cc_439,interfering with marine signal,,10y,,sc
cc_440,removing natural bar without permission,,2y,,sc
cc_441,occupant injuring building,,5y,,sc
cc_442,interfering with boundary lines,,,,sc
cc_443,interfering with international boundary marks,,5y,,sc
cc_445,injuring or endangering other animals,,5y,,10000&729d
cc_445.01(2)(a),killing or injuring certain animals — law enforcement animal killed,6m,5y,,
cc_445.01(2)(b),killing or injuring certain animals,,5y,,10000&729d
cc_445.1,causing unnecessary suffering — animals,,5y,,10000&729d
cc_445.2,owning or breeding cetaceans,,,,200000$
cc_446,causing damage or injury — animals,,2y,,sc
cc_447,arena for animal fighting,,5y,,10000&729d
cc_449,making — counterfeit money,,14y,,
cc_450,possession — counterfeit money,,14y,,
cc_451,having clippings produced by altering currency,,5y,,sc
cc_452,uttering counterfeit money,,14y,,
cc_453,uttering coin,,2y,,sc
cc_454,possess or manufacture slugs and tokens,,,,sc
cc_455,clipping and uttering clipped coin,,14y,,
cc_456,defacing current coins,,,,sc
cc_457,likeness of bank notes,,,,sc
cc_458,making having or dealing in instruments for counterfeiting,,14y,,
cc_459,conveying instruments for coining out of mint,,14y,,
cc_460,advertising and dealing in counterfeit money,,5y,,sc
cc_462.31(1),laundering proceeds of crime,,10y,,sc
cc_462.31(2.1),laundering proceeds of crime — criminal organization,,14y,,
cc_463(a),attempts accessories — punishable by life,,14y,,
cc_463(b),attempts accessories — punishable by 14y or less,,7y,,
cc_463(c),attempts accessories — sc conviction,,,,sc
cc_463(d),attempts accessories — hybrid,,7y,,sc
cc_464,counselling offence that is not committed — indictable,,14y,,sc
cc_465(1)(a),conspiracy — murder,,255y,,
cc_465(1)(b)(i),conspiracy — indictable punishable by 14y or less,,10y,,sc
cc_465(1)(b)(ii),conspiracy — indictable punihsable by less than 14y,,5y,,sc
cc_465(1)(c),conspiracy — indictable — other,,255y,,
cc_465(1)(d),conspiracy — sc,,,,sc
cc_467.11,participation in activities of criminal organization,,5y,,sc
cc_467.111(a),recruitment of members by a criminal organization — victim under 18,6m,5y,,
cc_467.111(b),recruitment of members by a criminal organization,,5y,,
cc_467.12,commission of offence for criminal organization,,14y,,
cc_467.13,instructing commission of offence for criminal organization,,255y,,
cc_486.6,failure to comply with publication ban — victims and witnesses,,,,sc
cc_487.0197,failure to comply with preservation demand,,,,5000$
cc_487.0198,failure to comply with preservation or production order,,,,250000&729d
cc_487.0199,failure to comply with destruction order,,,,sc
cc_487.0552,failure to comply with order or summons,,2y,,sc
cc_487.08(3),improper use of bodily substances seized — warrant,,,,sc
cc_487.08(4),improper use of bodily substances seized — order authorization,,2y,,sc
cc_490.031,failure to comply with soira or nda order,,10000&729,,10000&729d
cc_490.0311,providing false information re soira,,10000&729,,10000&729d
cc_490.0312,failure to advise police re soira,,,,sc
cc_490.8,failure to comply with restraint order,,5y,,sc
cc_517,failure to comply with publication ban — bail,,,,sc
cc_539,failure to comply with publication ban — preliminary inquiry evidence,,,,sc
cc_542,failure to comply with publication ban — preliminary inquiry documents,,,,sc
cc_648,failure to comply with publication ban — jury evidence,,,,sc
cc_649,disclosure of jury proceedings,,,,sc
cc_672.37,improper application for federal employment,,,,sc
cc_672.501,failure to comply with order restricting publication — sexual offences,,,,sc
cc_708,contempt,,,,100&90d
cc_732.11,improper use or disclosure of bodily substances seized — probatin order,,,,sc
cc_733.1,failure to comply with probation order,,4y,,sc
cc_742.31,improper use or disclosure of bodily substances seized — conditional sentence,,,,sc
cc_743.21,failure to comply with non-communication order — conditional sentence order,,2y,,sc
cc_753.3,failure to comply with long-term supervision order,,10y,,sc
cc_810.4,improper use or disclosure of bodily substances seized — recognizance,,,,sc
cc_811,breach of recognizance,,4y,,sc
